,gid,행정동,geometry,coordinates,centroid,인구수,고령인구수,id,장애인복지시설수,경로당수,BF인증시설수,무장애산책로,전동휠체어충전소,장애인_실내문화공간,장애인_실외문화공간,주차장수
14,�쇰씪54a87a,칠암동,"MULTIPOLYGON (((128.0930452120799 35.17683802532898, 128.0930779590952 35.18134637048981, 128.0985691562025 35.18131935733641, 128.0985361060328 35.17681101666209, 128.0930452120799 35.17683802532898)))","[[128.09304521207994, 35.17683802532898], [128.09307795909518, 35.181346370489806], [128.09856915620253, 35.18131935733641], [128.09853610603278, 35.17681101666209], [128.09304521207994, 35.17683802532898]]",POINT (128.0958071082 35.17907871319903),1373.0,328.0,14,0,2,0,0,0,0,0,0
15,�쇰씪60a85a,금곡면,"MULTIPOLYGON (((128.1587899821099 35.15846430660525, 128.1588263345656 35.16297260877852, 128.1643162270182 35.16294262846823, 128.1642795716975 35.15843433127535, 128.1587899821099 35.15846430660525)))","[[128.15878998210988, 35.158464306605254], [128.1588263345656, 35.162972608778524], [128.16431622701822, 35.16294262846823], [128.1642795716975, 35.15843433127535], [128.15878998210988, 35.158464306605254]]",POINT (128.1615530286781 35.16070348951216),0.0,,15,0,0,0,0,0,0,0,0
16,�쇰씪55b85a,호탄동,"MULTIPOLYGON (((128.1093833206731 35.15872289245342, 128.1094169472653 35.16323123759088, 128.1149069099561 35.1632034960904, 128.1148729804835 35.15869515556146, 128.1093833206731 35.15872289245342)))","[[128.1093833206731, 35.15872289245342], [128.10941694726526, 35.16323123759088], [128.11490690995615, 35.163203496090404], [128.11487298048345, 35.15869515556146], [128.1093833206731, 35.15872289245342]]",POINT (128.1121450394375 35.16096321615483),3885.0,862.0,16,0,3,0,0,1,0,0,0
18,�쇰씪65a95a,지수면,"MULTIPOLYGON (((128.2144747880382 35.24831772549835, 128.214514344344 35.25282590797092, 128.2200102234346 35.25279333221292, 128.2199703629347 35.24828515514565, 128.2144747880382 35.24831772549835)))","[[128.21447478803822, 35.24831772549835], [128.21451434434397, 35.252825907970916], [128.22001022343463, 35.252793332212924], [128.21997036293473, 35.24828515514565], [128.21447478803822, 35.24831772549835]]",POINT (128.2172424295051 35.25055555100567),23.0,14.000000000000002,18,0,0,0,0,0,0,0,0
19,�쇰씪53a94a,집현면,"MULTIPOLYGON (((128.0825140223765 35.24000794374432, 128.082546263153 35.24451625030342, 128.0880417260217 35.24448967330925, 128.0880091811437 35.23998137116067, 128.0825140223765 35.24000794374432)))","[[128.08251402237653, 35.24000794374432], [128.08254626315298, 35.24451625030342], [128.0880417260217, 35.24448967330925], [128.0880091811437, 35.23998137116067], [128.08251402237653, 35.24000794374432]]",POINT (128.0852777980245 35.24224883042248),39.0,17.0,19,0,0,0,0,0,0,0,0
20,�쇰씪59a80b,정촌면,"MULTIPOLYGON (((128.1474894152599 35.11794855037272, 128.1475250906102 35.12245689291411, 128.1530122757444 35.12242745416977, 128.1529762981302 35.11791911652136, 128.1474894152599 35.11794855037272)))","[[128.14748941525994, 35.117948550372724], [128.14752509061017, 35.12245689291411], [128.15301227574437, 35.12242745416977], [128.15297629813023, 35.117919116521364], [128.14748941525994, 35.117948550372724]]",POINT (128.1502507697689 35.12018802419394),14.000000000000002,8.0,20,0,1,0,0,0,0,0,0
21,�쇰씪71b86a,일반성면,"MULTIPOLYGON (((128.28513500982 35.16672830365946, 128.2851783469326 35.17123647401412, 128.2906686409816 35.17120076089282, 128.2906250009145 35.16669259647013, 128.28513500982 35.16672830365946)))","[[128.28513500981995, 35.16672830365946], [128.28517834693258, 35.171236474014115], [128.29066864098158, 35.17120076089282], [128.29062500091447, 35.16669259647013], [128.28513500981995, 35.16672830365946]]",POINT (128.2879017494602 35.16896455449499),229.0,53.0,21,0,0,0,0,0,0,0,0
22,�쇰씪64a75a,금곡면,"MULTIPOLYGON (((128.2019327661127 35.06805160324912, 128.2019713696101 35.07255993235798, 128.207455150808 35.07252806818499, 128.2074162458022 35.0680197443756, 128.2019327661127 35.06805160324912)))","[[128.20193276611272, 35.068051603249124], [128.20197136961008, 35.072559932357976], [128.20745515080802, 35.072528068184994], [128.20741624580225, 35.068019744375604], [128.20193276611272, 35.068051603249124]]",POINT (128.2046938829013 35.07028985770301),16.0,0.0,22,0,0,0,0,0,0,0,0
23,�쇰씪60b93a,금산면,"MULTIPOLYGON (((128.1648670346974 35.2305666788589, 128.1649038204822 35.23507492170931, 128.1703985597622 35.2350446122265, 128.1703614700364 35.23053637440653, 128.1648670346974 35.2305666788589)))","[[128.16486703469735, 35.2305666788589], [128.16490382048215, 35.235074921709305], [128.1703985597622, 35.235044612226496], [128.1703614700364, 35.23053637440653], [128.16486703469735, 35.2305666788589]]",POINT (128.1676327210742 35.23280566758572),22.0,7.000000000000001,23,0,0,0,0,0,0,0,0
24,�쇰씪57a97b,미천면,"MULTIPOLYGON (((128.1267179629738 35.27134619749545, 128.1267526904548 35.27585444384396, 128.132250224122 35.27582583758415, 128.1322151920796 35.271317595981, 128.1267179629738 35.27134619749545)))","[[128.1267179629738, 35.271346197495454], [128.12675269045482, 35.27585444384396], [128.13225022412203, 35.27582583758415], [128.13221519207963, 35.271317595980996], [128.1267179629738, 35.271346197495454]]",POINT (128.1294840172474 35.27358603954298),39.99999999999999,22.0,24,0,1,0,0,0,0,0,0
25,�쇰씪59a90a,금산면,"MULTIPOLYGON (((128.1481686034449 35.20360647850938, 128.1482044296317 35.20811475657738, 128.1536973705507 35.20808522476545, 128.1536612408221 35.20357695160052, 128.1481686034449 35.20360647850938)))","[[128.14816860344493, 35.20360647850938], [128.1482044296317, 35.20811475657738], [128.15369737055067, 35.20808522476545], [128.15366124082215, 35.203576951600525], [128.14816860344493, 35.20360647850938]]",POINT (128.1509329109459 35.20584587362806),30.0,12.0,25,0,0,0,1,0,0,0,0
27,�쇰씪62b76a,금곡면,"MULTIPOLYGON (((128.1855576821771 35.07716237873828, 128.1855953978849 35.08167071671151, 128.1910798078311 35.08163958593919, 128.1910417904753 35.07713125314286, 128.1855576821771 35.07716237873828)))","[[128.1855576821771, 35.07716237873828], [128.1855953978849, 35.08167071671151], [128.19107980783113, 35.08163958593919], [128.19104179047534, 35.07713125314286], [128.1855576821771, 35.07716237873828]]",POINT (128.1883186694145 35.07940100430109),0.0,0.0,27,0,0,0,0,0,0,0,0
28,�쇰씪47a81b,내동면,"MULTIPOLYGON (((128.0158588517054 35.12759734965256, 128.0158872848565 35.13210579048043, 128.0213752464217 35.13208230541376, 128.0213465108345 35.12757386848893, 128.0158588517054 35.12759734965256)))","[[128.01585885170536, 35.12759734965256], [128.01588728485655, 35.13210579048043], [128.02137524642174, 35.13208230541376], [128.02134651083452, 35.12757386848893], [128.01585885170536, 35.12759734965256]]",POINT (128.0186169733212 35.12983984921639),6.0,0.0,28,0,0,0,0,0,0,0,0
29,�쇰씪62a91a,금산면,"MULTIPOLYGON (((128.1811996092132 35.21244207286045, 128.1812372733469 35.21695031409224, 128.1867307723768 35.21691927699419, 128.1866928045773 35.21241104091479, 128.1811996092132 35.21244207286045)))","[[128.18119960921322, 35.212442072860455], [128.18123727334694, 35.21695031409224], [128.18673077237676, 35.21691927699419], [128.1866928045773, 35.212411040914795], [128.18119960921322, 35.212442072860455]]",POINT (128.1839651147038 35.21468069698687),0.0,0.0,29,0,0,0,0,0,0,0,0
30,�쇰씪56b85b,호탄동,"MULTIPOLYGON (((128.1203968651118 35.16317550582875, 128.1204311050658 35.1676838383171, 128.1259213555634 35.16765559460369, 128.125886812665 35.16314726680701, 128.1203968651118 35.16317550582875)))","[[128.1203968651118, 35.16317550582875], [128.12043110506582, 35.1676838383171], [128.1259213555634, 35.167655594603694], [128.12588681266496, 35.16314726680701], [128.1203968651118, 35.16317550582875]]",POINT (128.1231590344417 35.16541557212327),11.0,0.0,30,0,0,0,0,0,0,0,0
32,�쇰씪56b82b,정촌면,"MULTIPOLYGON (((128.1201915849812 35.13612543969965, 128.1202257793454 35.1406337925296, 128.125714213185 35.14060557695856, 128.1256797162796 35.13609722881723, 128.1201915849812 35.13612543969965)))","[[128.12019158498117, 35.136125439699654], [128.12022577934542, 35.1406337925296], [128.125714213185, 35.140605576958556], [128.12567971627965, 35.136097228817235], [128.12019158498117, 35.136125439699654]]",POINT (128.1229528232878 35.13836553021473),58.0,13.0,32,0,1,0,0,0,0,0,0
34,�쇰쭏57b01a,미천면,"MULTIPOLYGON (((128.1324605798132 35.30287521586784, 128.1324956663506 35.30738343369079, 128.1379953260497 35.30735454411656, 128.1379599344789 35.30284633108405, 128.1324605798132 35.30287521586784)))","[[128.13246057981323, 35.302875215867836], [128.13249566635065, 35.30738343369079], [128.13799532604972, 35.30735454411656], [128.13795993447894, 35.30284633108405], [128.13246057981323, 35.302875215867836]]",POINT (128.1352278765119 35.30511490203078),74.0,42.0,34,0,1,0,0,0,0,0,0
36,�쇰씪42a89a,대평면,"MULTIPOLYGON (((127.9613636481018 35.19544530561763, 127.9613891415958 35.19995373253546, 127.9668817080937 35.19993268001568, 127.9668559111414 35.19542425659362, 127.9613636481018 35.19544530561763)))","[[127.96136364810178, 35.19544530561763], [127.96138914159577, 35.19995373253546], [127.96688170809372, 35.19993268001568], [127.96685591114135, 35.19542425659362], [127.96136364810178, 35.19544530561763]]",POINT (127.9641226021144 35.19768901445012),13.0,9.999999999999998,36,0,1,0,0,0,0,0,0
37,�쇰씪41b86a,수곡면,"MULTIPOLYGON (((127.9557203566087 35.16841545238031, 127.9557455131026 35.17292390302308, 127.961236265515 35.17290312034316, 127.9612108059656 35.16839467315254, 127.9557203566087 35.16841545238031)))","[[127.95572035660868, 35.16841545238031], [127.95574551310256, 35.17292390302308], [127.961236265515, 35.17290312034316], [127.96121080596556, 35.16839467315254], [127.95572035660868, 35.16841545238031]]",POINT (127.9584782351804 35.17065930796366),7.000000000000001,6.0,37,0,0,0,0,0,0,0,0
38,�쇰씪75b85b,이반성면,"MULTIPOLYGON (((128.3290089129828 35.16192755573313, 128.3290546635105 35.16643568088859, 128.3345445752078 35.16639798364356, 128.3344985218104 35.16188986474993, 128.3290089129828 35.16192755573313)))","[[128.32900891298277, 35.16192755573313], [128.32905466351048, 35.16643568088859], [128.33454457520781, 35.16639798364356], [128.33449852181045, 35.16188986474993], [128.32900891298277, 35.16192755573313]]",POINT (128.3317766681645 35.16416279198569),41.0,26.0,38,0,0,0,0,0,0,0,0
40,�쇰씪65b83b,금곡면,"MULTIPOLYGON (((128.2190560100998 35.14459614340424, 128.2190956675422 35.14910439872119, 128.2245845584188 35.14907169852241, 128.2245445983336 35.1445634486386, 128.2190560100998 35.14459614340424)))","[[128.21905601009985, 35.14459614340424], [128.2190956675422, 35.14910439872119], [128.2245845584188, 35.149071698522405], [128.2245445983336, 35.1445634486386], [128.21905601009985, 35.14459614340424]]",POINT (128.2218202084132 35.146833943041),45.0,39.0,40,0,0,0,0,0,0,0,0
41,�쇰씪69a84b,진성면,"MULTIPOLYGON (((128.2575595001423 35.15337848951334, 128.2576012945999 35.15788669912239, 128.2630907274038 35.15785224721311, 128.263048630183 35.15334404332754, 128.2575595001423 35.15337848951334)))","[[128.25755950014226, 35.153378489513344], [128.25760129459985, 35.15788669912239], [128.26309072740383, 35.15785224721311], [128.263048630183, 35.153344043327536], [128.25755950014226, 35.153378489513344]]",POINT (128.2603250378871 35.15561539051994),0.0,0.0,41,0,0,0,0,0,0,0,0
43,�쇰씪47a91b,명석면,"MULTIPOLYGON (((128.0164287161209 35.21776552367865, 128.0164572758322 35.22227389685828, 128.0219513002419 35.22225033364188, 128.0219224367486 35.21774196437377, 128.0164287161209 35.21776552367865)))","[[128.01642871612094, 35.21776552367865], [128.01645727583215, 35.222273896858276], [128.02195130024194, 35.22225033364188], [128.0219224367486, 35.217741964373765], [128.01642871612094, 35.21776552367865]]",POINT (128.0191899321033 35.22000795041451),0.0,0.0,43,0,0,0,0,0,0,0,0
44,�쇰씪76b83a,이반성면,"MULTIPOLYGON (((128.3397564934268 35.13931131089045, 128.3398027982532 35.14381944055188, 128.3452911757751 35.14378127752314, 128.3452445684194 35.13927315420274, 128.3397564934268 35.13931131089045)))","[[128.33975649342685, 35.13931131089045], [128.33980279825323, 35.14381944055188], [128.34529117577506, 35.14378127752314], [128.34524456841945, 35.13927315420274], [128.33975649342685, 35.13931131089045]]",POINT (128.3425237587522 35.1415463165066),31.0,18.0,44,0,1,0,0,0,0,0,0
45,�쇰씪56b94a,집현면,"MULTIPOLYGON (((128.1209799796377 35.23981669683106, 128.121014349091 35.2443249716471, 128.1265097599484 35.24429664809742, 128.1264750864051 35.23978837798171, 128.1209799796377 35.23981669683106)))","[[128.1209799796377, 35.23981669683106], [128.12101434909096, 35.2443249716471], [128.12650975994842, 35.24429664809742], [128.12647508640512, 35.23978837798171], [128.1209799796377, 35.23981669683106]]",POINT (128.1237447936115 35.24205669443206),52.0,12.0,45,0,1,0,0,0,0,0,0
46,�쇰씪49a86b,판문동,"MULTIPOLYGON (((128.0381061749659 35.17258603176552, 128.0381358837521 35.1770944229017, 128.0436268473862 35.17706990317675, 128.0435968354974 35.17256151611321, 128.0381061749659 35.17258603176552)))","[[128.0381061749659, 35.17258603176552], [128.0381358837521, 35.177094422901696], [128.04362684738615, 35.17706990317675], [128.04359683549737, 35.17256151611321], [128.0381061749659, 35.17258603176552]]",POINT (128.0408664352618 35.17482798923101),76.0,22.0,46,0,0,1,0,0,0,0,0
47,�쇰씪65b92a,대곡면,"MULTIPOLYGON (((128.219731385718 35.22123602125837, 128.2197711931469 35.22574421874857, 128.2252652392451 35.22571142609633, 128.2252251280289 35.22120323404928, 128.219731385718 35.22123602125837)))","[[128.219731385718, 35.22123602125837], [128.21977119314693, 35.225744218748574], [128.22526523924506, 35.22571142609633], [128.2252251280289, 35.221203234049284], [128.219731385718, 35.22123602125837]]",POINT (128.2224982363503 35.22347374581609),42.0,31.0,47,0,0,0,0,0,0,0,0
48,�쇰쭏58a05a,미천면,"MULTIPOLYGON (((128.1382432872122 35.33891194017642, 128.1382787417089 35.34342012601587, 128.1437808362406 35.34339094768612, 128.1437450761701 35.3388827666828, 128.1382432872122 35.33891194017642)))","[[128.13824328721225, 35.33891194017642], [128.13827874170886, 35.34342012601587], [128.14378083624055, 35.34339094768612], [128.1437450761701, 35.3388827666828], [128.13824328721225, 35.33891194017642]]",POINT (128.1410119851707 35.34115146600887),43.0,21.0,48,0,1,0,0,0,0,0,0
49,�쇰씪60b79a,금곡면,"MULTIPOLYGON (((128.1638403421566 35.10433450022635, 128.1638768999309 35.1088428381433, 128.1693631543187 35.10881266930692, 128.169326294487 35.10430433640516, 128.1638403421566 35.10433450022635)))","[[128.16384034215656, 35.10433450022635], [128.1638768999309, 35.1088428381433], [128.16936315431872, 35.10881266930692], [128.16932629448704, 35.10430433640516], [128.16384034215656, 35.10433450022635]]",POINT (128.1666016725516 35.10657360670941),21.0,9.999999999999998,49,0,0,0,0,0,0,0,0
50,�쇰씪61a81b,금곡면,"MULTIPOLYGON (((128.1695106755245 35.12684596698062, 128.1695475763047 35.13135428291473, 128.1750353337906 35.13132384053372, 128.1749981306194 35.12681552965882, 128.1695106755245 35.12684596698062)))","[[128.16951067552452, 35.12684596698062], [128.16954757630472, 35.13135428291473], [128.17503533379062, 35.131323840533724], [128.17499813061937, 35.12681552965882], [128.16951067552452, 35.12684596698062]]",POINT (128.1722729288869 35.12908492572809),53.0,29.0,50,0,0,0,0,0,0,0,0
52,�쇰씪36b90b,수곡면,"MULTIPOLYGON (((127.9010148767743 35.20918578337118, 127.901037046912 35.21369423588499, 127.9065305828014 35.21367591459486, 127.9065081089903 35.20916746512279, 127.9010148767743 35.20918578337118)))","[[127.90101487677434, 35.20918578337118], [127.901037046912, 35.21369423588499], [127.90653058280144, 35.21367591459486], [127.9065081089903, 35.20916746512279], [127.90101487677434, 35.20918578337118]]",POINT (127.9037726537664 35.2114308705137),11.0,7.000000000000001,52,0,0,0,0,0,0,0,0
53,�쇰씪50a99b,명석면,"MULTIPOLYGON (((128.0498778710524 35.28975360763121, 128.0499083615728 35.29426190250557, 128.0554072160685 35.29423677678753, 128.0553764206936 35.28972848608024, 128.0498778710524 35.28975360763121)))","[[128.0498778710524, 35.28975360763121], [128.04990836157285, 35.294261902505575], [128.0554072160685, 35.29423677678753], [128.05537642069356, 35.28972848608024], [128.0498778710524, 35.28975360763121]]",POINT (128.0526424672064 35.29199521408247),0.0,0.0,53,0,0,0,0,0,0,0,0
55,�쇰쭏53b03a,미천면,"MULTIPOLYGON (((128.088596096076 35.32113029081788, 128.0886287712958 35.32563853189471, 128.0941297122978 35.32561162517192, 128.0940967317603 35.32110338855573, 128.088596096076 35.32113029081788)))","[[128.08859609607603, 35.321130290817884], [128.08862877129576, 35.32563853189471], [128.09412971229779, 35.325611625171916], [128.09409673176032, 35.321103388555734], [128.08859609607603, 35.321130290817884]]",POINT (128.0913628277077 35.32337097996526),28.000000000000004,19.999999999999996,55,0,0,0,0,0,0,0,0
56,�쇰씪48a95b,명석면,"MULTIPOLYGON (((128.0276496706127 35.25378498351751, 128.0276788897476 35.25829332174522, 128.0331753339336 35.2582692279274, 128.0331458104793 35.25376089369743, 128.0276496706127 35.25378498351751)))","[[128.0276496706127, 35.253784983517505], [128.02767888974762, 35.25829332174522], [128.03317533393357, 35.2582692279274], [128.03314581047928, 35.25376089369743], [128.0276496706127, 35.253784983517505]]",POINT (128.0304124260582 35.25602712752578),43.0,19.999999999999996,56,0,1,0,0,0,0,0,0
57,�쇰씪57b99b,미천면,"MULTIPOLYGON (((128.1323553669351 35.28935054201327, 128.1323904301072 35.2938587700289, 128.1378891749094 35.29382989482442, 128.1378538069071 35.28932167159768, 128.1323553669351 35.28935054201327)))","[[128.1323553669351, 35.289350542013274], [128.13239043010717, 35.293858770028905], [128.1378891749094, 35.29382989482442], [128.13785380690712, 35.289321671597676], [128.1323553669351, 35.289350542013274]]",POINT (128.1351221945534 35.29159024044667),19.999999999999996,11.0,57,0,0,0,0,0,0,0,0
58,�쇰씪52b90a,상봉동,"MULTIPOLYGON (((128.076763618208 35.20396765740371, 128.0767954981973 35.20847599544742, 128.0822885372906 35.20844970290505, 128.0822563537378 35.20394136922667, 128.076763618208 35.20396765740371)))","[[128.07676361820796, 35.20396765740371], [128.07679549819733, 35.208475995447415], [128.08228853729057, 35.20844970290505], [128.08225635373776, 35.20394136922667], [128.07676361820796, 35.20396765740371]]",POINT (128.0795260017102 35.20620870201125),14.000000000000002,8.0,58,0,0,0,0,0,0,0,0
59,�쇰씪77b86b,이반성면,"MULTIPOLYGON (((128.3510612210893 35.17079149585661, 128.3511082039426 35.17529958888431, 128.3565986802504 35.17526088379077, 128.3565513944021 35.17075279719155, 128.3510612210893 35.17079149585661)))","[[128.35106122108934, 35.170791495856605], [128.35110820394257, 35.17529958888431], [128.35659868025039, 35.17526088379077], [128.35655139440206, 35.170752797191554], [128.35106122108934, 35.170791495856605]]",POINT (128.3538298747023 35.17302621216932),33.0,19.999999999999996,59,0,0,0,0,0,0,0,0
60,�쇰씪76b82b,이반성면,"MULTIPOLYGON (((128.3397101988813 35.13480317781542, 128.3397564934268 35.13931131089045, 128.3452445684194 35.13927315420274, 128.3451979714119 35.13476502746805, 128.3397101988813 35.13480317781542)))","[[128.3397101988813, 35.13480317781542], [128.33975649342685, 35.13931131089045], [128.34524456841945, 35.13927315420274], [128.34519797141192, 35.13476502746805], [128.3397101988813, 35.13480317781542]]",POINT (128.3424773078184 35.13703818830527),0.0,0.0,60,0,0,0,0,0,0,0,0
61,�쇰씪47a81a,내동면,"MULTIPOLYGON (((128.0158304248675 35.12308890544431, 128.0158588517054 35.12759734965256, 128.0213465108345 35.12757386848893, 128.0213177816278 35.1230654281833, 128.0158304248675 35.12308890544431)))","[[128.01583042486752, 35.123088905444305], [128.01585885170536, 35.12759734965256], [128.02134651083452, 35.12757386848893], [128.0213177816278, 35.1230654281833], [128.01583042486752, 35.123088905444305]]",POINT (128.0185883921254 35.1253314086463),9.999999999999998,0.0,61,0,0,0,0,0,0,0,0
64,�쇰씪66b85a,진성면,"MULTIPOLYGON (((128.2301539926997 35.15805522832548, 128.2301942822564 35.16256346253071, 128.2356840636369 35.16253024855617, 128.2356434712397 35.15802201986846, 128.2301539926997 35.15805522832548)))","[[128.2301539926997, 35.15805522832548], [128.23019428225638, 35.16256346253071], [128.23568406363688, 35.162530248556166], [128.23564347123968, 35.15802201986846], [128.2301539926997, 35.15805522832548]]",POINT (128.2329189522701 35.16029276054979),0.0,0.0,64,0,0,0,0,0,0,0,0
65,�쇰씪59b83b,금곡면,"MULTIPOLYGON (((128.1531922837025 35.14496909152613, 128.153228309284 35.14947740881892, 128.1587173014112 35.14944769207628, 128.1586809731646 35.14493937972096, 128.1531922837025 35.14496909152613)))","[[128.1531922837025, 35.14496909152613], [128.15322830928397, 35.149477408818925], [128.1587173014112, 35.14944769207628], [128.15868097316465, 35.14493937972096], [128.1531922837025, 35.14496909152613]]",POINT (128.1559547167221 35.14720841375562),18.0,8.0,65,0,0,0,0,0,0,0,0
66,�쇰씪72a83a,일반성면,"MULTIPOLYGON (((128.2903633639118 35.13964353835605, 128.2904069458753 35.14415172322857, 128.2958954135273 35.14411579713387, 128.2958515290148 35.13960761823076, 128.2903633639118 35.13964353835605)))","[[128.2903633639118, 35.13964353835605], [128.29040694587533, 35.14415172322857], [128.29589541352735, 35.14411579713387], [128.2958515290148, 35.139607618230755], [128.2903633639118, 35.13964353835605]]",POINT (128.2931293128786 35.14187968995244),13.0,9.0,66,0,1,0,0,0,0,0,0
68,�쇰씪64b83b,금곡면,"MULTIPOLYGON (((128.2080788072839 35.14466078721486, 128.2081178594348 35.14916905327416, 128.2136067678585 35.14913685030555, 128.2135674130609 35.14462858959678, 128.2080788072839 35.14466078721486)))","[[128.20807880728387, 35.14466078721486], [128.20811785943476, 35.14916905327416], [128.2136067678585, 35.149136850305545], [128.21356741306087, 35.14462858959678], [128.20807880728387, 35.14466078721486]]",POINT (128.2108427117269 35.14689884081733),47.0,24.0,68,0,2,0,0,0,0,0,0
