ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,DSPSN_TOILET_AT,ADIT_DC,UPDT_DT,REGIST_DT
KCDCOPO22N000000011,무장애장소,무장애장소_나눔길,서울어린이대공원 무장애 나눔길,11,서울특별시,11215,광진구,1121510200,,1.12153E+11,서울특별시 광진구 능동로 216(능동),서울특별시 광진구 능동 18 어린이대공원,"216 Neungdong-ro, Gwangjin-gu, Seoul",1121510200,어린이대공원,1.12151E+24,,4991,,37.5509054,127.0842781,공공데이터,,,20230207,20230207
KCDCOPO22N000000012,무장애장소,무장애장소_나눔길,울산광역시 동구 방어동 대왕암공원 무장애나눔길,31,울산광역시,31170,동구,3117010300,일산동,3.11703E+11,울산광역시 동구 등대로 140(일산동),울산광역시 동구 일산동 905 대왕암공원화장실,"140 Deungdae-ro, Dong-gu, Ulsan",3117010300,대왕암공원화장실,3.11701E+24,,44058,,35.4922636,129.4399363,공공데이터,,,20230207,20230207
KCDCOPO22N000000013,무장애장소,무장애장소_나눔길,관모산 큰나무골 무장애나눔길,28,인천광역시,28200,남동구,2820010400,장수동,2.82003E+11,인천광역시 남동구 무네미로 238(장수동),인천광역시 남동구 장수동 산78 인천대공원,"238 Munemi-ro, Namdong-gu, Incheon",2820010400,인천대공원,2.82001E+24,,21533,,37.454727,126.7577155,공공데이터,,,20230207,20230207
KCDCOPO22N000000014,무장애장소,무장애장소_나눔길,여수시 미평 봉화산 삼림욕장 무장애나눔길,46,전라남도,46130,여수시,4613033025,옥적리,4.61305E+11,전라남도 여수시 화양면 상전길 199,전라남도 여수시 화양면 옥적리 16,"199 Sangjeon-gil, Hwayang-myeon, Yeosu-si, Jeollanam-do",4613033025,,4.61303E+24,,59652,,34.7184373,127.6070102,공공데이터,,,20230207,20230207
KCDCOPO22N000000015,무장애장소,무장애장소_나눔길,전주 덕진 무장애나눔길,45,전라북도,45113,전주시 덕진구,4511310700,금암동,4.51132E+11,전라북도 전주시 덕진구 백제대로 567(금암동),전라북도 전주시 덕진구 금암동 663 전북대학교,"567 Baekje-daero, Deokjin-gu, Jeonju-si, Jeollabuk-do",4511310700,전북대학교,4.51131E+24,,54896,,35.8474065,127.1245403,공공데이터,,,20230207,20230207
KCDCOPO22N000000016,무장애장소,무장애장소_나눔길,정읍사 문화공원 무장애나눔길,45,전라북도,45180,정읍시,4518010400,,4.51805E+11,전라북도 정읍시 시기4길 7-28(시기동),전라북도 정읍시 시기동 산9 매점,"7-28 Sigi 4-gil, Jeongeup-si, Jeollabuk-do",4518010400,매점,4.51801E+24,,56204,,35.5521662,126.8593321,공공데이터,,,20230207,20230207
KCDCOPO22N000000017,무장애장소,무장애장소_나눔길,서귀포 치유의 숲 노고록 숲길,50,제주특별자치도,50130,서귀포시,5013010400,,5.01303E+11,제주특별자치도 서귀포시 산록남로 2271(호근동),제주특별자치도 서귀포시 호근동 산1,"2271 Sallongnam-ro, Seogwipo-si, Jeju-do",5013010400,,5.01301E+24,,63576,,33.2919447,126.5295439,공공데이터,,,20230207,20230207
KCDCOPO22N000000018,무장애장소,무장애장소_나눔길,공인재단법인 천리포 너나들이 나눔길,44,충청남도,44825,태안군,4482534026,의항리,4.48255E+11,충청남도 태안군 소원면 천리포1길 187,충청남도 태안군 소원면 의항리 875,"187 Cheollipo 1-gil, Sowon-myeon, Taean-gun, Chungcheongnam-do",4482534026,,4.48253E+24,,32121,,36.7965849,126.1487821,공공데이터,,,20230207,20230207
KCDCOPO22N000000019,무장애장소,무장애장소_나눔길,예산군 덕산 무장애나눔길,44,충청남도,44810,예산군,4481036027,시량리,4.48103E+11,충청남도 예산군 덕산면 덕산온천로 183-15,충청남도 예산군 덕산면 시량리 68-1 충의사,"183-15 Deoksanoncheon-ro, Deoksan-myeon, Yesan-gun, Chungcheongnam-do",4481036027,충의사,4.48104E+24,,32407,,36.6881742,126.6521832,공공데이터,,,20230207,20230207
KCDCOPO22N000000020,무장애장소,무장애장소_나눔길,"진천군 ""산림습지로 다함께"" 무장애나눔길",43,충청북도,43750,진천군,4375034028,명암리,4.37505E+11,충청북도 진천군 백곡면 명암길 435-135,충청북도 진천군 백곡면 명암리 산34-1 생거진천 자연휴양림,"435-135 Myeongam-gil, Baekgok-myeon, Jincheon-gun, Chungcheongbuk-do",4375034028,생거진천 자연휴양림,4.37503E+24,,27822,,36.9249667,127.3887952,공공데이터,,,20230207,20230207
KCDCOPO22N000000021,무장애장소,무장애장소_나눔길,청남대 무장애나눔길,43,충청북도,43111,청주시 상당구,4311135032,신대리,4.31115E+11,충청북도 청주시 상당구 문의면 청남대길 646,충청북도 청주시 상당구 문의면 신대리 산26-1 청남대관리사업소,"646 Cheongnamdae-gil, Munui-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",4311135032,청남대관리사업소,4.37104E+24,,28210,,36.4622309,127.4906019,공공데이터,,,20230207,20230207
KCDCOPO22N000000022,무장애장소,무장애장소_나눔길,원당리 무장애나눔길,42,강원도,42800,양구군,4280032023,원당리,4.28004E+11,강원도 양구군 동면 숨골로310번길 131,강원도 양구군 동면 원당리 185,"131 Sumgol-ro 310beon-gil, Dong-myeon, Yanggu-gun, Gangwon-do",4280032023,,4.28003E+24,,24511,,38.1904968,128.0810879,공공데이터,,,20230207,20230207
KCDCOPO22N000000023,무장애장소,무장애장소_나눔길,김해시 덕정공원 무장애나눔길,48,경상남도,48250,김해시,4825013000,,4.82503E+11,경상남도 김해시 덕정로 115(관동동),경상남도 김해시 관동동 421-1,"115 Deokjeong-ro, Gimhae-si, Gyeongsangnam-do",4825013000,,4.82501E+24,,50994,,35.180742,128.7979062,공공데이터,,,20230207,20230207
KCDCOPO22N000000024,무장애장소,무장애장소_나눔길,영천시 마현산 메모리얼 무장애 나눔길,47,경상북도,47230,영천시,4723010600,창구동,4.72303E+11,경상북도 영천시 천문로 409-12(창구동),경상북도 영천시 창구동 산6-2,"409-12 Cheonmun-ro, Yeongcheon-si, Gyeongsangbuk-do",4723010600,,4.72301E+24,,38844,,35.9744863,128.9269115,공공데이터,,,20230207,20230207
KCDCOPO22N000000025,무장애장소,무장애장소_나눔길,월산근린공원 무장애나눔길,29,광주광역시,29155,남구,2915510400,월산동,2.91553E+11,광주광역시 남구 월산로 37(월산동),광주광역시 남구 월산동 150 효사랑스포츠클럽,"37 Wolsan-ro, Nam-gu, Gwangju",2915510400,효사랑스포츠클럽,2.91551E+24,,61652,,35.141902,126.8988864,공공데이터,,,20230207,20230207
KCDCOPO22N000000026,무장애장소,무장애장소_나눔길,유달산 둘레 무장애(BF)나눔길,46,전라남도,46110,목포시,4611015700,죽교동,4.61103E+11,전라남도 목포시 유달로 321(죽교동),전라남도 목포시 죽교동 30-5,"321 Yudal-ro, Mokpo-si, Jeollanam-do",4611015700,,4.61102E+24,,58627,,34.7969833,126.3719305,공공데이터,,,20230207,20230207
KCDCOPO22N000000027,무장애장소,무장애장소_나눔길,순천 조례호수 쌈지숲 나눔길,46,전라남도,46150,순천시,4615013300,조례동,4.61503E+11,전라남도 순천시 지봉로 611(조례동),전라남도 순천시 조례동 1870,"611 Jibong-ro, Suncheon-si, Jeollanam-do",4615013300,,4.61501E+24,,57932,,34.9661612,127.5255122,공공데이터,,,20230207,20230207
KCDCOPO22N000000028,무장애장소,무장애장소_나눔길,고창 선운산도립공원 무장애나눔길,45,전라북도,45790,고창군,4579032036,삼인리,4.57903E+11,전라북도 고창군 아산면 선운사로 250,전라북도 고창군 아산면 삼인리 500,"250 Seonunsa-ro, Asan-myeon, Gochang-gun, Jeollabuk-do",4579032036,,4.57903E+24,,56452,,35.4966615,126.578596,공공데이터,,,20230207,20230207
KCDCOPO22N000000029,무장애장소,무장애장소_나눔길,완주 무장애나눔길,45,전라북도,45710,완주군,4571025626,운곡리,4.57103E+11,전라북도 완주군 용진읍 완주로 462,전라북도 완주군 용진읍 운곡리 905-2,"462 Wanju-ro, Yongjin-eup, Wanju-gun, Jeollabuk-do",4571025626,,4.57103E+24,,55352,,35.9063383,127.1570495,공공데이터,,,20230207,20230207
KCDCOPO22N000000030,무장애장소,무장애장소_나눔길,밀러의숲길,44,충청남도,44825,태안군,4482534026,의항리,4.48255E+11,충청남도 태안군 소원면 천리포1길 332-30,충청남도 태안군 소원면 의항리 624-2,"332-30 Cheollipo 1-gil, Sowon-myeon, Taean-gun, Chungcheongnam-do",4482534026,,4.48253E+24,,32121,,36.8050453,126.1547055,공공데이터,,,20230207,20230207
KCDCOPO22N000000031,무장애장소,무장애장소_나눔길,금강숲 무장애나눔길,36,세종특별자치시,36110,세종시,3611034046,도남리,3.61105E+11,세종특별자치시 금남면 산림박물관길 110,"세종특별자치시 금남면 도남리 2-2 산림박물관, 산림환경연구소","110 Sallimbangmulgwan-gil, Geumnam-myeon, Sejong-si",3611034046,"산림박물관, 산림환경연구소",4.41503E+24,,30085,,36.4276603,127.2335885,공공데이터,,,20230207,20230207
KCDCOPO22N000000032,무장애장소,무장애장소_나눔길,봉학골 다함께(무장애)나눔길,43,충청북도,43770,음성군,4377025025,용산리,4.37705E+11,충청북도 음성군 음성읍 용광로230번길 138,충청북도 음성군 음성읍 용산리 580-8 봉학골산림욕장,"138 Yonggwang-ro 230beon-gil, Eumseong-eup, Eumseong-gun, Chungcheongbuk-do",4377025025,봉학골산림욕장,4.37703E+24,,27688,,36.9682289,127.6857416,공공데이터,,,20230207,20230207
KCDCOPO22N000000033,무장애장소,무장애장소_나눔길,평창군 효석문학의 숲 무장애나눔길,42,강원도,42760,평창군,4276034021,창동리,4.27604E+11,강원도 평창군 봉평면 문학숲길 97,강원도 평창군 봉평면 창동리 618-6 효석.문학숲공원,"97 Munhaksup-gil, Bongpyeong-myeon, Pyeongchang-gun, Gangwon-do",4276034021,효석.문학숲공원,4.27603E+24,,25304,,37.6003347,128.3567249,공공데이터,,,20230207,20230207
KCDCOPO22N000000034,무장애장소,무장애장소_나눔길,송지호 무장애나눔길,42,강원도,42820,고성군,4282032025,오봉리,4.28202E+11,강원도 고성군 죽왕면 동해대로 6021,강원도 고성군 죽왕면 오봉리 9-34 송지호철새관망타워,"6021 Donghae-daero, Jugwang-myeon, Goseong-gun, Gangwon-do",4282032025,송지호철새관망타워,4.28203E+24,,24747,,38.336554,128.5175832,공공데이터,,,20230207,20230207
KCDCOPO22N000000035,무장애장소,무장애장소_나눔길,경기도잣향기푸른숲 무장애나눔길,41,경기도,41820,가평군,4182033023,행현리,4.18203E+11,경기도 가평군 상면 축령로 289-146,경기도 가평군 상면 행현리 산92-1 잣향기푸른숲,"289-146 Chungnyeong-ro, Sang-myeon, Gapyeong-gun, Gyeonggi-do",4182033023,잣향기푸른숲,4.18203E+24,,12448,,37.7625612,127.3338168,공공데이터,,,20230207,20230207
KCDCOPO22N000000036,무장애장소,무장애장소_나눔길,죽미공원 숲속 무장애나눔길,41,경기도,41370,오산시,4137011300,,4.13703E+11,경기도 오산시 세마역로 54(세교동),경기도 오산시 세교동 620,"54 Semayeok-ro, Osan-si, Gyeonggi-do",4137011300,,4.13701E+24,,18106,,37.1824721,127.0461771,공공데이터,,,20230207,20230207
KCDCOPO22N000000037,무장애장소,무장애장소_나눔길,차황면 황매산 무장애나눔길,48,경상남도,48860,산청군,4886031026,법평리,4.88605E+11,경상남도 산청군 차황면 황매산로1138번길 215,경상남도 산청군 차황면 법평리 1-18 황매산미리내파크,"215 Hwangmaesan-ro 1138beon-gil, Chahwang-myeon, Sancheong-gun, Gyeongsangnam-do",4886031026,황매산미리내파크,4.88603E+24,,52207,,35.4886666,127.9694017,공공데이터,,,20230207,20230207
KCDCOPO22N000000038,무장애장소,무장애장소_나눔길,경암공원 무장애나눔길사업,29,광주광역시,29200,광산구,2920012500,,2.92004E+11,광주광역시 광산구 하남대로54번안길 133(하남동),광주광역시 광산구 하남동 663,"133 Hanam-daero 54beonan-gil, Gwangsan-gu, Gwangju",2920012500,,2.92001E+24,,62336,,35.1782795,126.8000827,공공데이터,,,20230207,20230207
KCDCOPO22N000000039,무장애장소,무장애장소_나눔길,강남구 대모산 무장애 나눔길,11,서울특별시,11680,강남구,1168011400,일원동,1.16804E+11,서울특별시 강남구 광평로10길 14-7(일원동),서울특별시 강남구 일원동 산52-14,"14-7 Gwangpyeong-ro 10-gil, Gangnam-gu, Seoul",1168011400,,1.16801E+24,,6359,,37.4794625,127.0781458,공공데이터,,,20230207,20230207
KCDCOPO22N000000040,무장애장소,무장애장소_나눔길,산림자원연구소 무장애나눔길,46,전라남도,46170,나주시,4617040025,산제리,4.61703E+11,전라남도 나주시 산포면 다도로 7,전라남도 나주시 산포면 산제리 23-7 전라남도산림자원연구소,"7 Dado-ro, Sanpo-myeon, Naju-si, Jeollanam-do",4617040025,전라남도산림자원연구소,4.61704E+24,,58213,,35.0057695,126.8257915,공공데이터,,,20230207,20230207
KCDCOPO22N000000041,무장애장소,무장애장소_나눔길,장수군 노하숲 무장애나눔길,45,전라북도,45740,장수군,4574025022,노하리,4.57405E+11,전라북도 장수군 장수읍 노하숲길 108-17,전라북도 장수군 장수읍 노하리 367-2 게이트볼장,"108-17 Nohasup-gil, Jangsu-eup, Jangsu-gun, Jeollabuk-do",4574025022,게이트볼장,4.57403E+24,,55631,,35.6540563,127.5166948,공공데이터,,,20230207,20230207
KCDCOPO22N000000042,무장애장소,무장애장소_나눔길,붉은오름자연휴양림 무장애나눔길,50,제주특별자치도,50130,서귀포시,5013032024,가시리,5.01303E+11,제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시 표선면 가시리 산158 붉은오름 자연휴양림 숲속의 집,"1487-73 Namjo-ro, Pyoseon-myeon, Seogwipo-si, Jeju-do",5013032024,붉은오름 자연휴양림 숲속의 집,5.01303E+24,,63622,,33.4014288,126.6758325,공공데이터,,,20230207,20230207
KCDCOPO22N000000043,무장애장소,무장애장소_나눔길,안면도 자연휴양림 무장애나눔길,44,충청남도,44825,태안군,4482525321,승언리,4.48252E+11,충청남도 태안군 안면읍 안면대로 3195-6,충청남도 태안군 안면읍 승언리 135,"3195-6 Anmyeon-daero, Anmyeon-eup, Taean-gun, Chungcheongnam-do",4482525321,,4.48253E+24,,32166,,36.4965604,126.3550176,공공데이터,,,20230207,20230207
KCDCOPO22N000000044,무장애장소,무장애장소_나눔길,미동산수목원 무장애 나눔길,43,충청북도,43111,청주시 상당구,4311132021,미원리,4.31115E+11,충청북도 청주시 상당구 미원면 수목원길 51,충청북도 청주시 상당구 미원면 미원리 20 충청북도산림환경연구소,"51 Sumogwon-gil, Miwon-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",4311132021,충청북도산림환경연구소,4.37103E+24,,28199,,36.6260981,127.6678269,공공데이터,,,20230207,20230207
KCDCOPO22N000000045,관광지,체험관광지,어답산관광지,42,강원도,42730,횡성군,4273034034,병지방리,4.27303E+11,강원도 횡성군 갑천면 어답산로 516,강원도 횡성군 갑천면 병지방리 540-4 병지방오토캠핑장관리소,"516 Eodapsan-ro, Gapcheon-myeon, Hoengseong-gun, Gangwon-do",4273034034,병지방오토캠핑장관리소,4.27303E+24,033-340-5981,25251,,37.5938086,128.0575207,공공데이터,,,20230207,20230207
KCDCOPO22N000000046,관광지,체험관광지,구덕운동장,26,부산광역시,26140,서구,2614010600,,2.61403E+11,부산광역시 서구 망양로 57(서대신동3가),부산광역시 서구 서대신동3가 210-1 구덕운동장,"57 Mangyang-ro, Seo-gu, Busan",2614010600,구덕운동장,2.61401E+24,051-602-2211,49204,,35.1165964,129.0145297,공공데이터,,,20230207,20230207
KCDCOPO22N000000047,관광지,체험관광지,임시수도기념관,26,부산광역시,26140,서구,2614011100,,2.61403E+11,부산광역시 서구 임시수도기념로 45(부민동3가),부산광역시 서구 부민동3가 22 임시수도기념관,"45 Imsisudoginyeom-ro, Seo-gu, Busan",2614011100,임시수도기념관,2.61401E+24,051-244-6345,49236,,35.1037488,129.0175954,공공데이터,,,20230207,20230207
KCDCOPO22N000000048,관광지,체험관광지,송도오션파크,26,부산광역시,26140,서구,2614012400,,2.61403E+11,부산광역시 서구 송도해변로 36(암남동),부산광역시 서구 암남동 135-23 송도오토캠핑장,"36 Songdohaebyeon-ro, Seo-gu, Busan",2614012400,송도오토캠핑장,2.61401E+24,051-240-4081,49275,,35.0727183,129.0174477,공공데이터,,,20230207,20230207
KCDCOPO22N000000049,관광지,체험관광지,치산관광지,47,경상북도,47230,영천시,4723032021,치산리,4.72305E+11,경상북도 영천시 신녕면 신암길 17,경상북도 영천시 신녕면 치산리 1344-3,"17 Sinam-gil, Sinnyeong-myeon, Yeongcheon-si, Gyeongsangbuk-do",4723032021,,4.72303E+24,054-330-6582,38800,,36.0469328,128.712821,공공데이터,,,20230207,20230207
KCDCOPO22N000000050,관광지,체험관광지,영산포 역사갤러리,46,전라남도,46170,나주시,4617012300,,4.61705E+11,전라남도 나주시 영산3길 17(영산동),전라남도 나주시 영산동 247-2 영산포 역사갤러리,"17 Yeongsan 3-gil, Naju-si, Jeollanam-do",4617012300,영산포 역사갤러리,4.61701E+24,061-331-1755,58267,,35.0007213,126.7115039,공공데이터,,,20230207,20230207
KCDCOPO22N000000051,관광지,체험관광지,나주복암리고분전시관,46,전라남도,46170,나주시,4617036025,복암리,4.61703E+11,전라남도 나주시 다시면 백호로 287,전라남도 나주시 다시면 복암리 71,"287 Baekho-ro, Dasi-myeon, Naju-si, Jeollanam-do",4617036025,,4.61704E+24,061-337-0090,58280,,34.9960896,126.6570592,공공데이터,,,20230207,20230207
KCDCOPO22N000000052,관광지,체험관광지,일본인근대가옥,46,전라남도,46170,나주시,4617012300,,4.61703E+11,전라남도 나주시 예향로 3869-4(영산동),전라남도 나주시 영산동 660,"3869-4 Yehyang-ro, Naju-si, Jeollanam-do",4617012300,,4.61701E+24,061-334-7726,58267,,34.9994658,126.7131249,공공데이터,,,20230207,20230207
KCDCOPO22N000000053,관광지,체험관광지,빛가람호수공원전망대,46,전라남도,46170,나주시,4617013400,,4.61703E+11,전라남도 나주시 호수로 77(빛가람동),전라남도 나주시 빛가람동 346-1,"77 Hosu-ro, Naju-si, Jeollanam-do",4617013400,,4.61701E+24,061-333-1501,58325,,35.0168334,126.7904361,공공데이터,,,20230207,20230207
KCDCOPO22N000000054,관광지,체험관광지,최참판댁,48,경상남도,48850,하동군,4885032034,평사리,4.88505E+11,경상남도 하동군 악양면 평사리길 66-7,경상남도 하동군 악양면 평사리 483,"66-7 Pyeongsari-gil, Agyang-myeon, Hadong-gun, Gyeongsangnam-do",4885032034,,4.88503E+24,055-880-2381,52307,,35.1559091,127.688408,공공데이터,,,20230207,20230207
KCDCOPO22N000000055,관광지,체험관광지,화개장터,48,경상남도,48850,하동군,4885031023,탑리,4.88503E+11,경상남도 하동군 화개면 쌍계로 15,경상남도 하동군 화개면 탑리 726-46 화개장터,"15 Ssanggye-ro, Hwagae-myeon, Hadong-gun, Gyeongsangnam-do",4885031023,화개장터,4.88503E+24,055-880-2381,52303,,35.1879895,127.6240666,공공데이터,,,20230207,20230207
KCDCOPO22N000000056,관광지,체험관광지,삼성궁,48,경상남도,48850,하동군,4885040025,묵계리,4.88505E+11,경상남도 하동군 청암면 삼성궁길 2,경상남도 하동군 청암면 묵계리 1738-3,"2 Samseonggung-gil, Cheongam-myeon, Hadong-gun, Gyeongsangnam-do",4885040025,,4.88504E+24,055-880-2381,52309,,35.2387009,127.7054288,공공데이터,,,20230207,20230207
KCDCOPO22N000000057,관광지,체험관광지,이병주문학관,48,경상남도,48850,하동군,4885039023,직전리,4.88505E+11,경상남도 하동군 북천면 이명골길 14-28,경상남도 하동군 북천면 직전리 231,"14-28 Imyeonggol-gil, Bukcheon-myeon, Hadong-gun, Gyeongsangnam-do",4885039023,,4.88504E+24,055-880-2381,52318,,35.0972024,127.8942256,공공데이터,,,20230207,20230207
KCDCOPO22N000000058,관광지,체험관광지,하동레일파크,48,경상남도,48850,하동군,4885039023,직전리,4.88502E+11,경상남도 하동군 북천면 경서대로 2446-6,경상남도 하동군 북천면 직전리 1477-2,"2446-6 Gyeongseo-daero, Bukcheon-myeon, Hadong-gun, Gyeongsangnam-do",4885039023,,4.88504E+24,055-880-2381,52318,,35.1133368,127.8929765,공공데이터,,,20230207,20230207
KCDCOPO22N000000059,관광지,체험관광지,지리산역사관,48,경상남도,48850,하동군,4885031029,대성리,4.88503E+11,경상남도 하동군 화개면 화개로 1438,경상남도 하동군 화개면 대성리 1389,"1438 Hwagae-ro, Hwagae-myeon, Hadong-gun, Gyeongsangnam-do",4885031029,,4.88503E+24,055-880-2381,52300,,35.2896912,127.646527,공공데이터,,,20230207,20230207
KCDCOPO22N000000060,관광지,체험관광지,하동알프스레포츠,48,경상남도,48850,하동군,4885036022,중평리,4.88503E+11,경상남도 하동군 금남면 경충로 493-9,경상남도 하동군 금남면 중평리 763 하동청소년수련원,"493-9 Gyeongchung-ro, Geumnam-myeon, Hadong-gun, Gyeongsangnam-do",4885036022,하동청소년수련원,4.88504E+24,055-880-2381,52351,,34.9826092,127.894714,공공데이터,,,20230207,20230207
KCDCOPO22N000000061,관광지,체험관광지,하동 플라이웨이 케이블카,48,경상남도,48850,하동군,4885036022,중평리,4.88503E+11,경상남도 하동군 금남면 경충로 461-7,경상남도 하동군 금남면 중평리 772,"461-7 Gyeongchung-ro, Geumnam-myeon, Hadong-gun, Gyeongsangnam-do",4885036022,,4.88504E+24,055-880-2381,52351,,34.9808385,127.8952769,공공데이터,,,20230207,20230207
KCDCOPO22N000000062,관광지,체험관광지,창원단감테마공원,48,경상남도,48121,창원시 의창구,4812125036,화양리,4.81215E+11,경상남도 창원시 의창구 동읍 동읍로359번길 27,경상남도 창원시 의창구 동읍 화양리 665,"27 Dongeup-ro 359beon-gil, Dong-eup, Uichang-gu, Changwon-si, Gyeongsangnam-do",4812125036,,4.81213E+24,055-225-5611,51117,,35.2991549,128.6632468,공공데이터,,,20230207,20230207
KCDCOPO22N000000063,관광지,체험관광지,창원의집,48,경상남도,48121,창원시 의창구,4812112500,,4.81215E+11,경상남도 창원시 의창구 사림로16번길 59(사림동),경상남도 창원시 의창구 사림동 69 창원의집,"59 Sarim-ro 16beon-gil, Uichang-gu, Changwon-si, Gyeongsangnam-do",4812112500,창원의집,4.81211E+24,055-719-7800,51150,,35.2444496,128.6813533,공공데이터,,,20230207,20230207
