읍면동,장애유형,합계,남성_합계,여성_합계,심한 장애,남성_심한 장애,여성_심한 장애,심하지 않은 장애,남성_심하지 않은 장애,여성_심하지 않은 장애
정촌면,정신,7,4,3,7,4,3,0,0,0
정촌면,신장,14,7,7,9,6,3,5,1,4
정촌면,심장,3,2,1,2,1,1,1,1,0
정촌면,호흡기,3,2,1,3,2,1,0,0,0
정촌면,간,1,1,0,0,0,0,1,1,0
정촌면,안면,1,0,1,1,0,1,0,0,0
정촌면,장루.요루,1,1,0,0,0,0,1,1,0
정촌면,뇌전증,2,0,2,0,0,0,2,0,2
금곡면,소계,254,129,125,97,50,47,157,79,78
금곡면,지체,120,62,58,28,16,12,92,46,46
금곡면,시각,22,11,11,2,0,2,20,11,9
금곡면,청각,48,26,22,14,10,4,34,16,18
금곡면,언어,2,0,2,1,0,1,1,0,1
금곡면,지적,17,9,8,17,9,8,0,0,0
금곡면,뇌병변,20,10,10,13,5,8,7,5,2
금곡면,자폐성,2,2,0,2,2,0,0,0,0
금곡면,정신,12,7,5,12,7,5,0,0,0
금곡면,신장,7,1,6,6,1,5,1,0,1
금곡면,호흡기,2,0,2,2,0,2,0,0,0
금곡면,간,1,1,0,0,0,0,1,1,0
금곡면,장루.요루,1,0,1,0,0,0,1,0,1
진성면,소계,225,108,117,74,38,36,151,70,81
진성면,지체,109,51,58,17,10,7,92,41,51
진성면,시각,17,9,8,3,0,3,14,9,5
진성면,청각,43,20,23,9,3,6,34,17,17
진성면,언어,3,1,2,2,1,1,1,0,1
진성면,지적,14,9,5,14,9,5,0,0,0
진성면,뇌병변,15,4,11,6,2,4,9,2,7
진성면,자폐성,3,3,0,3,3,0,0,0,0
진성면,정신,11,4,7,11,4,7,0,0,0
진성면,신장,7,4,3,7,4,3,0,0,0
진성면,심장,1,1,0,0,0,0,1,1,0
진성면,호흡기,2,2,0,2,2,0,0,0,0
일반성면,소계,270,130,140,97,46,51,173,84,89
일반성면,지체,152,70,82,29,13,16,123,57,66
일반성면,시각,19,13,6,7,3,4,12,10,2
일반성면,청각,42,17,25,16,8,8,26,9,17
일반성면,언어,1,1,0,1,1,0,0,0,0
일반성면,지적,22,13,9,22,13,9,0,0,0
일반성면,뇌병변,17,8,9,10,4,6,7,4,3
일반성면,자폐성,1,1,0,1,1,0,0,0,0
일반성면,정신,9,2,7,9,2,7,0,0,0
일반성면,신장,4,3,1,2,1,1,2,2,0
일반성면,간,1,1,0,0,0,0,1,1,0
일반성면,장루.요루,2,1,1,0,0,0,2,1,1
이반성면,소계,249,132,117,81,47,34,168,85,83
이반성면,지체,116,58,58,15,7,8,101,51,50
이반성면,시각,23,12,11,3,0,3,20,12,8
이반성면,청각,41,19,22,6,5,1,35,14,21
이반성면,언어,1,0,1,0,0,0,1,0,1
이반성면,지적,22,14,8,22,14,8,0,0,0
이반성면,뇌병변,20,10,10,10,3,7,10,7,3
이반성면,자폐성,3,3,0,3,3,0,0,0,0
이반성면,정신,17,10,7,17,10,7,0,0,0
이반성면,신장,4,4,0,4,4,0,0,0,0
이반성면,심장,1,1,0,1,1,0,0,0,0
이반성면,간,1,1,0,0,0,0,1,1,0
사봉면,소계,202,100,102,74,42,32,128,58,70
사봉면,지체,92,41,51,13,9,4,79,32,47
사봉면,시각,12,7,5,2,2,0,10,5,5
사봉면,청각,35,18,17,8,2,6,27,16,11
사봉면,언어,1,1,0,1,1,0,0,0,0
사봉면,지적,25,12,13,25,12,13,0,0,0
사봉면,뇌병변,17,7,10,9,5,4,8,2,6
사봉면,자폐성,1,1,0,1,1,0,0,0,0
사봉면,정신,9,6,3,9,6,3,0,0,0
사봉면,신장,4,4,0,4,4,0,0,0,0
사봉면,호흡기,2,0,2,2,0,2,0,0,0
사봉면,간,2,2,0,0,0,0,2,2,0
사봉면,장루.요루,2,1,1,0,0,0,2,1,1
지수면,소계,151,79,72,62,32,30,89,47,42
지수면,지체,51,29,22,8,4,4,43,25,18
지수면,시각,13,8,5,1,0,1,12,8,4
지수면,청각,37,15,22,9,5,4,28,10,18
지수면,언어,1,1,0,1,1,0,0,0,0
지수면,지적,14,8,6,14,8,6,0,0,0
지수면,뇌병변,19,8,11,15,6,9,4,2,2
지수면,정신,12,7,5,12,7,5,0,0,0
지수면,신장,1,0,1,1,0,1,0,0,0
지수면,장루.요루,3,3,0,1,1,0,2,2,0
대곡면,소계,342,188,154,114,69,45,228,119,109
대곡면,지체,154,82,72,34,20,14,120,62,58
대곡면,시각,26,15,11,4,2,2,22,13,9
대곡면,청각,75,33,42,11,4,7,64,29,35
대곡면,언어,3,3,0,1,1,0,2,2,0
대곡면,지적,25,17,8,25,17,8,0,0,0
대곡면,뇌병변,25,14,11,9,4,5,16,10,6
대곡면,자폐성,2,2,0,2,2,0,0,0,0
대곡면,정신,20,14,6,20,14,6,0,0,0
대곡면,신장,8,4,4,6,3,3,2,1,1
대곡면,심장,1,1,0,1,1,0,0,0,0
대곡면,호흡기,2,2,0,1,1,0,1,1,0
대곡면,간,1,1,0,0,0,0,1,1,0
금산면,소계,882,516,366,324,188,136,558,328,230
금산면,지체,410,247,163,86,55,31,324,192,132
금산면,시각,84,49,35,13,8,5,71,41,30
금산면,청각,130,67,63,31,18,13,99,49,50
금산면,언어,7,5,2,3,2,1,4,3,1
금산면,지적,71,40,31,71,40,31,0,0,0
금산면,뇌병변,77,43,34,37,12,25,40,31,9
금산면,자폐성,22,17,5,22,17,5,0,0,0
금산면,정신,26,9,17,25,9,16,1,0,1
금산면,신장,40,28,12,32,23,9,8,5,3
금산면,호흡기,4,4,0,3,3,0,1,1,0
금산면,간,9,7,2,1,1,0,8,6,2
금산면,장루.요루,1,0,1,0,0,0,1,0,1
금산면,뇌전증,1,0,1,0,0,0,1,0,1
집현면,소계,363,212,151,138,84,54,225,128,97
집현면,지체,180,108,72,36,29,7,144,79,65
집현면,시각,30,22,8,6,4,2,24,18,6
집현면,청각,48,25,23,9,5,4,39,20,19
집현면,언어,3,3,0,1,1,0,2,2,0
집현면,지적,28,15,13,28,15,13,0,0,0
집현면,뇌병변,37,19,18,25,13,12,12,6,6
집현면,자폐성,5,4,1,5,4,1,0,0,0
집현면,정신,14,7,7,14,7,7,0,0,0
집현면,신장,11,5,6,11,5,6,0,0,0
집현면,호흡기,2,1,1,2,1,1,0,0,0
집현면,간,2,2,0,0,0,0,2,2,0
집현면,장루.요루,1,1,0,0,0,0,1,1,0
집현면,뇌전증,2,0,2,1,0,1,1,0,1
미천면,소계,204,109,95,72,45,27,132,64,68
미천면,지체,88,44,44,16,9,7,72,35,37
미천면,시각,16,12,4,5,2,3,11,10,1
미천면,청각,39,14,25,4,3,1,35,11,24
미천면,언어,2,2,0,2,2,0,0,0,0
미천면,지적,14,10,4,14,10,4,0,0,0
미천면,뇌병변,27,13,14,15,6,9,12,7,5
미천면,정신,9,6,3,9,6,3,0,0,0
미천면,신장,6,6,0,6,6,0,0,0,0
미천면,호흡기,1,1,0,1,1,0,0,0,0
미천면,장루.요루,2,1,1,0,0,0,2,1,1
명석면,소계,341,189,152,128,78,50,213,111,102
명석면,지체,169,97,72,39,26,13,130,71,59
명석면,시각,30,16,14,4,2,2,26,14,12
명석면,청각,49,22,27,9,4,5,40,18,22
명석면,언어,4,3,1,1,1,0,3,2,1
명석면,지적,34,20,14,34,20,14,0,0,0
명석면,뇌병변,21,13,8,14,11,3,7,2,5
명석면,자폐성,2,2,0,2,2,0,0,0,0
명석면,정신,15,8,7,15,8,7,0,0,0
명석면,신장,12,4,8,10,4,6,2,0,2
명석면,간,2,1,1,0,0,0,2,1,1
명석면,장루.요루,3,3,0,0,0,0,3,3,0
대평면,소계,133,62,71,52,26,26,81,36,45
대평면,지체,61,27,34,12,6,6,49,21,28
대평면,시각,6,4,2,1,1,0,5,3,2
대평면,청각,21,7,14,3,1,2,18,6,12
대평면,지적,18,7,11,18,7,11,0,0,0
대평면,뇌병변,12,7,5,5,3,2,7,4,3
대평면,자폐성,1,1,0,1,1,0,0,0,0
대평면,정신,6,4,2,6,4,2,0,0,0
대평면,신장,4,1,3,4,1,3,0,0,0
대평면,호흡기,1,1,0,1,1,0,0,0,0
대평면,간,2,2,0,0,0,0,2,2,0
대평면,뇌전증,1,1,0,1,1,0,0,0,0
수곡면,소계,213,111,102,86,49,37,127,62,65
수곡면,지체,97,45,52,22,10,12,75,35,40
수곡면,시각,26,18,8,6,5,1,20,13,7
수곡면,청각,31,11,20,7,3,4,24,8,16
수곡면,언어,2,1,1,1,0,1,1,1,0
수곡면,지적,24,14,10,24,14,10,0,0,0
수곡면,뇌병변,14,6,8,10,4,6,4,2,2
수곡면,자폐성,5,5,0,5,5,0,0,0,0
수곡면,정신,8,5,3,8,5,3,0,0,0
수곡면,신장,4,4,0,3,3,0,1,1,0
수곡면,간,1,1,0,0,0,0,1,1,0
수곡면,장루.요루,1,1,0,0,0,0,1,1,0
천전동,소계,"1,508",863,645,543,314,229,965,549,416
천전동,지체,671,378,293,96,59,37,575,319,256
천전동,시각,130,79,51,24,14,10,106,65,41
천전동,청각,198,104,94,47,25,22,151,79,72
천전동,언어,27,23,4,11,8,3,16,15,1
천전동,지적,135,83,52,135,83,52,0,0,0
천전동,뇌병변,146,75,71,70,33,37,76,42,34
천전동,자폐성,18,15,3,18,15,3,0,0,0
천전동,정신,67,30,37,67,30,37,0,0,0
천전동,신장,82,50,32,66,40,26,16,10,6
천전동,심장,2,2,0,2,2,0,0,0,0
천전동,호흡기,5,5,0,5,5,0,0,0,0
천전동,간,11,9,2,0,0,0,11,9,2
천전동,장루.요루,8,5,3,0,0,0,8,5,3
천전동,뇌전증,8,5,3,2,0,2,6,5,1
성북동,소계,656,395,261,260,161,99,396,234,162
성북동,지체,264,162,102,49,39,10,215,123,92
성북동,시각,70,41,29,21,9,12,49,32,17
성북동,청각,83,51,32,12,9,3,71,42,29
성북동,언어,6,5,1,4,4,0,2,1,1
성북동,지적,63,34,29,63,34,29,0,0,0
성북동,뇌병변,65,39,26,22,13,9,43,26,17
성북동,자폐성,9,7,2,9,7,2,0,0,0
성북동,정신,41,22,19,41,22,19,0,0,0
성북동,신장,40,22,18,34,20,14,6,2,4
성북동,호흡기,2,2,0,2,2,0,0,0,0
성북동,간,4,4,0,1,1,0,3,3,0
성북동,안면,1,1,0,0,0,0,1,1,0
성북동,장루.요루,6,4,2,1,1,0,5,3,2
성북동,뇌전증,2,1,1,1,0,1,1,1,0
중앙동,소계,883,501,382,370,213,157,513,288,225
중앙동,지체,360,203,157,64,44,20,296,159,137
중앙동,시각,80,59,21,14,10,4,66,49,17
중앙동,청각,128,61,67,34,18,16,94,43,51
중앙동,언어,9,5,4,5,4,1,4,1,3
중앙동,지적,85,53,32,85,53,32,0,0,0
중앙동,뇌병변,72,39,33,37,17,20,35,22,13
중앙동,자폐성,3,2,1,3,2,1,0,0,0
중앙동,정신,84,41,43,83,40,43,1,1,0
중앙동,신장,40,22,18,37,19,18,3,3,0
중앙동,호흡기,6,6,0,5,5,0,1,1,0
중앙동,간,2,1,1,0,0,0,2,1,1
중앙동,안면,4,2,2,3,1,2,1,1,0
중앙동,장루.요루,6,3,3,0,0,0,6,3,3
중앙동,뇌전증,4,4,0,0,0,0,4,4,0
상봉동,소계,954,582,372,359,227,132,595,355,240
상봉동,지체,409,238,171,65,44,21,344,194,150
상봉동,시각,88,62,26,12,8,4,76,54,22
상봉동,청각,139,76,63,33,13,20,106,63,43
상봉동,언어,10,9,1,4,4,0,6,5,1
상봉동,지적,84,58,26,84,58,26,0,0,0
상봉동,뇌병변,92,55,37,50,30,20,42,25,17
상봉동,자폐성,15,14,1,15,14,1,0,0,0
상봉동,정신,51,27,24,49,26,23,2,1,1
상봉동,신장,42,27,15,39,25,14,3,2,1
상봉동,심장,2,1,1,0,0,0,2,1,1
상봉동,호흡기,6,4,2,6,4,2,0,0,0
상봉동,간,2,1,1,0,0,0,2,1,1
상봉동,안면,2,0,2,1,0,1,1,0,1
상봉동,장루.요루,10,8,2,0,0,0,10,8,2
상봉동,뇌전증,2,2,0,1,1,0,1,1,0
상대1동,소계,1,0,1,0,0,0,1,0,1
상대1동,지체,1,0,1,0,0,0,1,0,1
상대동,소계,"1,192",719,473,436,280,156,756,439,317
상대동,지체,545,335,210,94,72,22,451,263,188
상대동,시각,111,66,45,13,9,4,98,57,41
상대동,청각,154,89,65,27,18,9,127,71,56
상대동,언어,8,5,3,5,3,2,3,2,1
상대동,지적,98,59,39,98,59,39,0,0,0
상대동,뇌병변,123,73,50,73,40,33,50,33,17
상대동,자폐성,15,12,3,15,12,3,0,0,0
상대동,정신,56,31,25,56,31,25,0,0,0
상대동,신장,60,39,21,50,35,15,10,4,6
상대동,심장,3,0,3,2,0,2,1,0,1
상대동,호흡기,1,1,0,1,1,0,0,0,0
상대동,간,6,5,1,0,0,0,6,5,1
상대동,안면,1,0,1,1,0,1,0,0,0
상대동,장루.요루,7,3,4,0,0,0,7,3,4
상대동,뇌전증,4,1,3,1,0,1,3,1,2
하대동,소계,"1,277",759,518,481,293,188,796,466,330
하대동,지체,582,357,225,99,67,32,483,290,193
하대동,시각,122,70,52,15,9,6,107,61,46
하대동,청각,145,74,71,36,21,15,109,53,56
하대동,언어,13,11,2,6,5,1,7,6,1
하대동,지적,135,84,51,135,84,51,0,0,0
하대동,뇌병변,108,63,45,56,31,25,52,32,20
하대동,자폐성,17,14,3,17,14,3,0,0,0
하대동,정신,55,26,29,53,25,28,2,1,1
하대동,신장,70,40,30,53,31,22,17,9,8
하대동,호흡기,8,5,3,8,5,3,0,0,0
하대동,간,9,7,2,0,0,0,9,7,2
하대동,안면,3,1,2,1,0,1,2,1,1
하대동,장루.요루,7,4,3,2,1,1,5,3,2
하대동,뇌전증,3,3,0,0,0,0,3,3,0
상평동,소계,638,402,236,218,141,77,420,261,159
상평동,지체,291,182,109,50,39,11,241,143,98
상평동,시각,60,45,15,10,5,5,50,40,10
상평동,청각,83,47,36,10,5,5,73,42,31
상평동,언어,5,4,1,3,2,1,2,2,0
상평동,지적,44,26,18,44,26,18,0,0,0
상평동,뇌병변,65,37,28,28,15,13,37,22,15
상평동,자폐성,15,13,2,15,13,2,0,0,0
상평동,정신,31,16,15,29,16,13,2,0,2
상평동,신장,36,25,11,28,19,9,8,6,2
상평동,호흡기,1,1,0,1,1,0,0,0,0
상평동,간,2,2,0,0,0,0,2,2,0
상평동,안면,1,0,1,0,0,0,1,0,1
상평동,장루.요루,3,3,0,0,0,0,3,3,0
상평동,뇌전증,1,1,0,0,0,0,1,1,0
초장동,소계,709,441,268,248,154,94,461,287,174
초장동,지체,334,211,123,53,35,18,281,176,105
초장동,시각,71,41,30,6,1,5,65,40,25
초장동,청각,84,49,35,19,10,9,65,39,26
초장동,언어,5,3,2,2,2,0,3,1,2
초장동,지적,74,42,32,74,42,32,0,0,0
초장동,뇌병변,66,38,28,36,19,17,30,19,11
초장동,자폐성,23,22,1,23,22,1,0,0,0
초장동,정신,22,13,9,21,12,9,1,1,0
초장동,신장,19,14,5,11,8,3,8,6,2
초장동,심장,1,1,0,0,0,0,1,1,0
초장동,호흡기,3,3,0,3,3,0,0,0,0
초장동,간,4,3,1,0,0,0,4,3,1
초장동,장루.요루,3,1,2,0,0,0,3,1,2
평거동,소계,"1,072",633,439,435,263,172,637,370,267
평거동,지체,468,275,193,99,63,36,369,212,157
평거동,시각,99,56,43,27,12,15,72,44,28
평거동,청각,145,77,68,24,11,13,121,66,55
평거동,언어,14,13,1,8,8,0,6,5,1
평거동,지적,103,69,34,103,69,34,0,0,0
평거동,뇌병변,110,60,50,63,30,33,47,30,17
평거동,자폐성,25,22,3,25,22,3,0,0,0
평거동,정신,40,21,19,38,20,18,2,1,1
평거동,신장,49,32,17,41,25,16,8,7,1
평거동,심장,2,1,1,2,1,1,0,0,0
평거동,호흡기,3,2,1,3,2,1,0,0,0
평거동,간,3,2,1,0,0,0,3,2,1
평거동,안면,1,0,1,0,0,0,1,0,1
평거동,장루.요루,9,3,6,1,0,1,8,3,5
평거동,뇌전증,1,0,1,1,0,1,0,0,0
신안동,소계,542,305,237,208,124,84,334,181,153
신안동,지체,242,137,105,40,28,12,202,109,93
신안동,시각,54,30,24,13,6,7,41,24,17
신안동,청각,66,35,31,11,7,4,55,28,27
신안동,언어,5,2,3,1,1,0,4,1,3
신안동,지적,53,29,24,53,29,24,0,0,0
신안동,뇌병변,49,29,20,32,20,12,17,9,8
신안동,자폐성,10,9,1,10,9,1,0,0,0
신안동,정신,20,10,10,19,9,10,1,1,0
신안동,신장,34,18,16,25,12,13,9,6,3
신안동,심장,1,1,0,0,0,0,1,1,0
신안동,호흡기,4,3,1,4,3,1,0,0,0
신안동,간,3,2,1,0,0,0,3,2,1
신안동,장루.요루,1,0,1,0,0,0,1,0,1
이현동,소계,597,337,260,233,127,106,364,210,154
이현동,지체,290,165,125,60,37,23,230,128,102
이현동,시각,41,29,12,6,3,3,35,26,9
이현동,청각,80,34,46,12,1,11,68,33,35
이현동,언어,5,3,2,3,2,1,2,1,1
이현동,지적,45,28,17,45,28,17,0,0,0
이현동,뇌병변,57,35,22,40,24,16,17,11,6
이현동,자폐성,3,2,1,3,2,1,0,0,0
이현동,정신,29,11,18,26,8,18,3,3,0
이현동,신장,30,18,12,26,14,12,4,4,0
이현동,호흡기,9,6,3,9,6,3,0,0,0
이현동,간,2,1,1,0,0,0,2,1,1
이현동,장루.요루,5,4,1,3,2,1,2,2,0
이현동,뇌전증,1,1,0,0,0,0,1,1,0
판문동,소계,897,528,369,405,223,182,492,305,187
판문동,지체,430,260,170,101,58,43,329,202,127
판문동,시각,58,40,18,14,7,7,44,33,11
판문동,청각,87,41,46,33,16,17,54,25,29
판문동,언어,5,5,0,2,2,0,3,3,0
판문동,지적,107,56,51,107,56,51,0,0,0
판문동,뇌병변,87,51,36,53,29,24,34,22,12
판문동,자폐성,18,15,3,18,15,3,0,0,0
판문동,정신,42,21,21,42,21,21,0,0,0
판문동,신장,37,22,15,27,14,13,10,8,2
판문동,호흡기,9,6,3,8,5,3,1,1,0
판문동,간,5,5,0,0,0,0,5,5,0
판문동,장루.요루,8,4,4,0,0,0,8,4,4
판문동,뇌전증,4,2,2,0,0,0,4,2,2
가호동,소계,"1,329",788,541,615,372,243,714,416,298
가호동,지체,609,381,228,178,124,54,431,257,174
가호동,시각,127,80,47,27,16,11,100,64,36
가호동,청각,139,69,70,45,26,19,94,43,51
가호동,언어,12,10,2,4,4,0,8,6,2
가호동,지적,120,68,52,120,68,52,0,0,0
가호동,뇌병변,137,71,66,84,44,40,53,27,26
가호동,자폐성,22,21,1,22,21,1,0,0,0
가호동,정신,71,33,38,71,33,38,0,0,0
가호동,신장,61,34,27,50,28,22,11,6,5
가호동,심장,4,3,1,3,2,1,1,1,0
가호동,호흡기,8,5,3,8,5,3,0,0,0
가호동,간,9,6,3,1,0,1,8,6,2
가호동,안면,2,1,1,2,1,1,0,0,0
가호동,장루.요루,4,2,2,0,0,0,4,2,2
가호동,뇌전증,4,4,0,0,0,0,4,4,0
충무공동,소계,716,445,271,279,175,104,437,270,167
충무공동,지체,320,203,117,66,47,19,254,156,98
충무공동,시각,74,46,28,11,5,6,63,41,22
충무공동,청각,62,35,27,17,8,9,45,27,18
충무공동,언어,11,8,3,4,3,1,7,5,2
충무공동,지적,73,39,34,73,39,34,0,0,0
충무공동,뇌병변,77,48,29,38,25,13,39,23,16
충무공동,자폐성,25,19,6,25,19,6,0,0,0
충무공동,정신,26,18,8,26,18,8,0,0,0
충무공동,신장,35,21,14,18,10,8,17,11,6
충무공동,호흡기,1,0,1,0,0,0,1,0,1
충무공동,간,7,5,2,0,0,0,7,5,2
충무공동,안면,1,1,0,1,1,0,0,0,0
충무공동,장루.요루,4,2,2,0,0,0,4,2,2
