법정동,장애인구수(4유형),인구수,고령인구수,장애인복지시설수,경로당수,BF인증시설수,무장애산책로,전동휠체어충전소,장애인_실내문화공간,장애인_실외문화공간,주차장수,2020년_불법주차수,2021년_불법주차수,2022년_불법주차수,2023년_불법주차수,장애인구수4_격자할당,lng,lat
집현면,,52,12,0,1,0,0,0,0,0,0,0,0,0,0,2.517241379,128.1237448,35.24205669
판문동,,76,22,0,0,1,0,0,0,0,0,0,0,5,3,15.02857143,128.0408664,35.17482799
대곡면,,42,31,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.2224982,35.22347375
미천면,,43,21,0,1,0,0,0,0,0,0,0,0,0,0,1.901639344,128.141012,35.34115147
금곡면,,21,10,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1666017,35.10657361
금곡면,,53,29,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1722729,35.12908493
수곡면,,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9037727,35.21143087
명석면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0526425,35.29199521
미천면,,28,20,0,0,0,0,0,0,0,0,0,0,0,0,1.901639344,128.0913628,35.32337098
명석면,,43,20,0,1,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0304124,35.25602713
미천면,,20,11,0,0,0,0,0,0,0,0,0,0,0,0,1.901639344,128.1351222,35.29159024
상봉동,,14,8,0,0,0,0,0,0,0,0,0,0,0,0,56.55555556,128.079526,35.2062087
이반성면,,33,20,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3538299,35.17302621
이반성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3424773,35.13703819
내동면,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2125,128.0185884,35.12533141
진성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.232919,35.16029276
문산읍,,18,8,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1559547,35.14720841
일반성면,,13,9,0,1,0,0,0,0,0,0,0,0,0,0,3.188679245,128.2931293,35.14187969
문산읍,,47,24,0,2,0,0,0,0,0,0,0,0,0,0,4.13253012,128.2108427,35.14689884
집현면,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0800716,35.28284992
집현면,,43,19,0,1,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0686031,35.21527747
미천면,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.901639344,128.1462269,35.30505663
판문동,,691,183,0,1,0,0,0,0,0,0,1,3,2,13,15.02857143,128.0463271,35.17029496
하대동,,3357,550,0,3,0,0,0,0,0,0,0,147,199,108,63.45454545,128.1124155,35.19702985
명석면,,82,40,0,1,0,0,0,0,0,0,0,0,0,0,1.79245283,127.9918565,35.24266455
명석면,,15,7,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,127.9919655,35.26069802
집현면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0964335,35.26473662
초장동,,61,22,0,1,0,0,0,0,0,0,0,0,0,0,10.35897436,128.0795901,35.21522537
충무공동,,14,0,0,1,0,0,0,0,0,0,683,943,803,397,39.8,128.1286491,35.16538721
문산읍,,47,18,0,1,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1613342,35.13365363
집현면,,43,22,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.1071582,35.22861566
내동면,,12,7,0,0,0,0,0,0,0,0,0,0,0,0,1.2125,128.0351689,35.14329355
사봉면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.913793103,128.3046832,35.20041327
판문동,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,15.02857143,128.0464478,35.18832849
미천면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.901639344,128.0747328,35.30541753
금곡면,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1666751,35.11559027
사봉면,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.913793103,128.2660257,35.17812178
대곡면,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1513292,35.2554367
이반성면,,23,18,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3264694,35.18223285
일반성면,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3.188679245,128.2766215,35.13747814
수곡면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9858507,35.15702698
금산면,,34,15,0,0,0,0,0,0,0,0,0,0,0,0,6.915492958,128.1562806,35.18778311
진성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2328381,35.15127629
일반성면,,41,25,0,1,0,0,0,0,0,0,0,0,0,0,3.188679245,128.2657298,35.14656441
금산면,,120,60,0,1,0,0,0,0,0,0,0,0,0,0,6.915492958,128.1621015,35.2283276
명석면,,10,6,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0082865,35.2335797
가호동,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4516129,128.1230215,35.14738222
대곡면,,55,17,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1568253,35.25540699
미천면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.901639344,128.1352631,35.30962312
문산읍,,33,13,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1504659,35.147238
금산면,,24,10,0,0,0,0,0,0,0,0,0,51,21,7,6.915492958,128.1509689,35.21035415
집현면,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0581412,35.29196997
상대동,,24,9,2,0,0,0,1,1,0,0,50,23,21,31,56,128.1232622,35.17894055
대곡면,,66,35,0,1,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1679655,35.27337969
미천면,,18,6,0,0,0,0,0,0,0,0,0,0,0,0,1.901639344,128.1465139,35.34112216
집현면,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0742554,35.23779317
대곡면,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1293446,35.25555304
이반성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3207971,35.16423768
정촌면,,17,7,0,0,0,0,0,0,0,0,0,0,0,0,4.276923077,128.1392767,35.1202464
금산면,,0,,0,0,0,0,0,0,0,0,0,0,0,0,6.915492958,128.1399473,35.20590443
대곡면,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.2114711,35.21903062
집현면,,30,15,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0798467,35.25129189
대곡면,,93,62,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.2226182,35.23699831
진성면,,27,10,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.216727,35.19194893
상평동,,3442,541,0,1,0,0,0,0,0,0,13,98,1277,299,32.45454545,128.101265,35.17454324
내동면,,306,46,0,0,0,0,0,0,0,0,0,0,10,0,1.2125,128.0682577,35.16568555
진성면,,16,9,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2494292,35.16470022
집현면,,73,29,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0852454,35.23774052
집현면,,66,41,0,1,0,0,0,0,0,0,0,0,0,0,2.517241379,128.1126526,35.22858798
일반성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.188679245,128.2714313,35.16907057
정촌면,,128,65,0,2,0,0,0,0,0,0,0,1,0,0,4.276923077,128.0953472,35.11596158
금곡면,,111,52,0,1,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1777979,35.13356267
상평동,,89,32,0,1,0,0,0,0,0,0,1,6,4,1,32.45454545,128.1067222,35.17000752
사봉면,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.913793103,128.2717296,35.20062778
정촌면,,99,35,0,1,0,0,0,0,0,0,0,0,0,0,4.276923077,128.1228498,35.12484046
명석면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,127.9917749,35.22913941
명석면,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0361166,35.28756115
사봉면,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.913793103,128.2716017,35.18710328
천전동,,1163,179,0,1,0,0,0,0,0,0,383,251,203,374,48.47058824,128.09584,35.18358705
금산면,,111,43,0,0,0,0,0,0,0,0,0,0,0,0,6.915492958,128.1289965,35.21047029
문산읍,,424,36,0,0,0,0,0,0,0,0,0,0,1,2,4.13253012,128.1562082,35.17876653
대곡면,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1677436,35.24633037
수곡면,,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9311442,35.19330239
일반성면,,16,10,0,0,0,0,0,0,0,0,0,0,0,0,3.188679245,128.2712185,35.1465296
정촌면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.276923077,128.1062541,35.10689042
진성면,,22,10,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2331618,35.18734209
미천면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.901639344,128.091166,35.29632149
집현면,,98,48,0,1,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0799751,35.26932507
내동면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2125,128.0351099,35.13427671
집현면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0908712,35.25574702
수곡면,,6,,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9474476,35.16168345
천전동,,2134,410,0,0,0,0,0,0,0,0,0,2,8,4,48.47058824,128.0957413,35.17006202
판문동,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15.02857143,128.0300604,35.20192685
상봉동,,546,201,1,1,0,0,0,0,0,0,0,1,1,7,56.55555556,128.0740331,35.20623487
명석면,,31,18,0,1,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0247128,35.22449263
미천면,,11,6,0,1,0,0,0,0,0,0,0,0,0,0,1.901639344,128.0966649,35.29629448
문산읍,,18,6,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1945297,35.16502741
문산읍,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1943764,35.14699432
내동면,,25,12,0,0,0,0,0,0,0,0,0,0,0,0,1.2125,128.0571236,35.1431946
금산면,,38,18,0,0,0,0,0,0,0,0,0,0,0,0,6.915492958,128.156462,35.21032449
대곡면,,20,12,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1350166,35.27806555
일반성면,,20,13,0,1,0,0,0,0,0,0,0,0,0,0,3.188679245,128.2768357,35.16001911
초장동,,79,35,0,0,0,0,0,0,0,0,0,0,0,0,10.35897436,128.0904791,35.20164729
금곡면,,27,18,0,1,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1777605,35.12905436
진성면,,40,18,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2495119,35.17371664
상대동,,706,163,0,4,0,0,0,0,0,0,3,22,38,58,56,128.128788,35.18342048
이현동,,123,47,0,1,0,0,0,0,0,0,623,53,45,41,19.77777778,128.0574928,35.19729516
명석면,,21,12,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0247999,35.23801771
집현면,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.1071918,35.23312396
대평면,,20,13,0,0,0,0,0,0,0,0,0,0,0,0,2.740740741,127.97495,35.17059585
대곡면,,28,13,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1568617,35.25991522
명석면,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.030677,35.29660202
집현면,,41,20,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.079943,35.26481678
금곡면,,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1.632183908,128.1884702,35.09743432
하대동,,2843,570,0,2,0,1,0,1,0,0,4,114,82,126,63.45454545,128.1288574,35.1924371
진성면,,11,6,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2386124,35.18280051
수곡면,,25,10,0,1,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9584529,35.16615086
이반성면,,24,13,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3318685,35.17317903
초장동,,130,8,0,0,0,0,0,0,0,0,12,9,5,1,10.35897436,128.117976,35.20601857
진성면,,19,13,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2114317,35.21452241
하대동,,3114,675,0,1,0,1,0,0,0,0,113,61,110,96,63.45454545,128.1123478,35.18801321
명석면,,15,10,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0465988,35.21087032
진성면,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2549607,35.16917434
이반성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3266063,35.19575718
진성면,,23,12,0,1,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2275096,35.16934231
가호동,,1544,269,0,1,1,0,1,0,0,1,15,53,53,56,24.4516129,128.1066552,35.16099083
명석면,,15,9,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0026805,35.21556913
명석면,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,127.9974621,35.26067554
문산읍,,48,26,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1836251,35.17410641
대곡면,,21,13,0,0,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1682618,35.30944526
명석면,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0305006,35.26955212
천전동,,1417,262,0,2,0,0,0,0,0,0,0,15,3,4,48.47058824,128.0902509,35.1700889
지수면,,29,11,0,1,0,0,0,0,0,0,0,0,0,0,1.37254902,128.2499676,35.22330668
금곡면,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1722359,35.12457661
수곡면,,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.91492,35.24295276
집현면,,1671,277,1,2,0,0,0,0,0,0,0,0,0,2,2.517241379,128.0907404,35.23771383
이현동,,37,21,0,1,0,0,0,0,0,0,11,0,0,0,19.77777778,128.0575236,35.20180352
이반성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3484801,35.18658906
명석면,,11,8,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.041405,35.25597844
금산면,,77,30,0,0,0,0,0,0,0,0,0,0,0,1,6.915492958,128.1562444,35.18327482
집현면,,38,12,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.101897,35.26020112
금곡면,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1829471,35.09295701
금산면,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.915492958,128.1672638,35.18772309
미천면,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.901639344,128.1077977,35.31427268
진성면,,21,10,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2547109,35.14212506
사봉면,,69,39,0,1,0,0,0,0,0,0,0,0,0,0,1.913793103,128.2715165,35.17808693
수곡면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9584023,35.15713395
이반성면,,9,6,0,1,0,0,0,0,0,0,0,0,0,0,1.630952381,128.348527,35.19109715
집현면,,17,7,0,0,0,0,0,0,0,0,0,1,0,0,2.517241379,128.1016971,35.23315139
금산면,,28,9,0,0,0,0,0,0,0,0,0,0,0,0,6.915492958,128.1619551,35.21029458
문산읍,,60,35,0,1,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1833988,35.14705673
진성면,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2548774,35.16015793
이반성면,,16,11,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3429888,35.18662741
수곡면,,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9314304,35.24740353
판문동,,9391,737,0,3,0,0,0,0,0,0,587,716,0,353,15.02857143,128.0517871,35.16576169
금곡면,,20,10,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1941085,35.11543629
진성면,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2274695,35.16483408
수곡면,,126,58,0,1,0,0,0,0,0,0,0,0,0,0,0.932773109,128.1884323,35.092926
이반성면,,47,27,0,1,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3373589,35.1731412
내동면,,63,26,0,1,0,0,0,0,0,0,0,0,0,0,1.2125,128.0186456,35.13434829
집현면,,26,15,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.1180444,35.21503517
이반성면,,42,24,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.2987498,35.15536815
지수면,,29,18,0,0,0,0,0,0,0,0,0,0,0,0,1.37254902,128.2608711,35.21422179
일반성면,,24,19,0,0,0,0,0,0,0,0,0,0,0,0,3.188679245,128.2659834,35.17361359
집현면,,53,34,0,1,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0798146,35.24678359
중앙동,,1377,520,0,1,0,0,0,0,0,0,3,9,10,7,54.75,128.0849866,35.20167395
이반성면,,16,12,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3430354,35.1911355
판문동,,758,132,0,1,0,0,0,0,0,0,47,127,374,101,15.02857143,128.0462969,35.16578657
이반성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.348012,35.14150803
이반성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3591305,35.15495503
대곡면,,30,22,0,1,0,0,0,0,0,0,0,0,0,0,2.068181818,128.1732763,35.25080815
사봉면,,35,28,0,0,0,0,0,0,0,0,0,0,0,0,1.913793103,128.2442269,35.19629149
금산면,,44,20,0,0,0,0,0,0,0,0,0,0,0,0,6.915492958,128.1618088,35.1922615
대평면,,35,17,0,0,0,0,0,0,0,0,0,0,0,0,2.740740741,127.9643023,35.22924791
성북동,,1944,559,0,1,0,0,0,0,0,1,5,45,51,96,55.16666667,128.068446,35.19273574
금곡면,,107,64,0,1,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1773129,35.07495442
금곡면,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.205043,35.11086466
금곡면,,14,6,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.17231,35.13359324
이반성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3315014,35.137114
미천면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.901639344,128.1407985,35.3141023
내동면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2125,128.040598,35.13425235
가호동,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4516129,128.1285451,35.15186221
천전동,,11,9,0,0,0,0,0,0,0,0,0,0,0,0,48.47058824,128.0847282,35.16560717
명석면,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0082584,35.22907133
가호동,,6,,0,0,1,0,0,0,0,0,680,728,732,344,24.4516129,128.1231246,35.16090724
집현면,,42,16,0,0,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0799109,35.26030849
이현동,,38,20,0,1,0,0,0,0,0,0,0,0,0,0,19.77777778,128.052092,35.21084539
사봉면,,13,8,0,1,0,0,0,0,0,0,0,0,0,0,1.913793103,128.3103097,35.21390099
초장동,,225,96,0,1,0,0,0,0,0,0,0,0,2,0,10.35897436,128.101564,35.21511818
일반성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.188679245,128.2985736,35.13733546
신안동,,1600,462,0,1,0,0,0,0,0,1,104,56,145,134,59.2,128.0684146,35.18822738
수곡면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9037057,35.1979055
금곡면,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.177462,35.09298779
사봉면,,43,25,0,1,0,0,0,0,0,0,0,0,0,0,1.913793103,128.2827574,35.20506542
문산읍,,9,,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1616626,35.17422837
평거동,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3,128.051848,35.17477846
금곡면,,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1941468,35.11994459
문산읍,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1837006,35.18312294
정촌면,,86,41,0,0,0,0,0,0,0,0,0,3,0,3,4.276923077,128.100834,35.11593451
상평동,,1348,361,0,3,0,0,0,0,0,0,19,174,41,70,32.45454545,128.1122126,35.1699799
천전동,,1333,438,0,1,0,1,0,0,1,0,122,264,225,194,48.47058824,128.0903813,35.18812229
진성면,,35,19,0,1,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2274293,35.16032585
문산읍,,21,18,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1723841,35.14260985
이현동,,1404,332,0,1,0,0,0,0,0,0,39,53,135,59,19.77777778,128.0574312,35.18827843
하대동,,1075,264,0,2,0,0,0,0,0,0,0,12,4,2,63.45454545,128.1123817,35.19252153
이현동,,2372,644,0,3,1,0,1,0,0,0,2,289,393,152,19.77777778,128.062954,35.19276139
이반성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3426167,35.15056256
명석면,,15,6,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,128.0466894,35.22439538
금곡면,,11,8,0,0,0,0,0,0,0,0,0,0,0,0,1.632183908,128.1721618,35.11555997
문산읍,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13253012,128.1891538,35.17858356
하대동,,0,,0,0,0,0,0,0,0,0,0,0,0,0,63.45454545,128.1068897,35.19254918
진성면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607594937,128.2382864,35.14673473
명석면,,17,8,0,0,0,0,0,0,0,0,0,0,0,0,1.79245283,127.991911,35.25168129
지수면,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37254902,128.2774367,35.22313338
미천면,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.901639344,128.1075954,35.28722323
지수면,,51,10,0,0,0,0,0,0,0,0,0,0,0,0,1.37254902,128.2884679,35.22757044
상봉동,,2767,905,0,4,0,0,0,0,0,0,13,79,121,90,56.55555556,128.0684774,35.19724409
수곡면,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9313826,35.23838671
내동면,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2125,128.0241626,35.13883311
대평면,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.740740741,127.9748976,35.16157896
집현면,,52,21,0,1,0,0,0,0,0,0,0,0,0,0,2.517241379,128.0687918,35.24232743
금산면,,235,96,0,1,0,0,0,0,0,0,0,0,0,0,6.915492958,128.1452975,35.18784213
정촌면,,85,41,0,1,0,0,0,0,0,0,0,2,1,1,4.276923077,128.1009665,35.13396802
수곡면,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932773109,127.9420796,35.18424589
가호동,,30,17,0,0,0,0,0,0,0,0,0,0,2,2,24.4516129,128.0956098,35.15202859
천전동,,3170,747,0,3,1,0,0,0,0,0,331,225,163,52,48.47058824,128.0902835,35.17459725
지수면,,16,6,0,0,0,0,0,0,0,0,0,0,0,0,1.37254902,128.2774797,35.22764152
일반성면,,11,10,0,0,0,0,0,0,0,0,0,0,0,0,3.188679245,128.282498,35.17801648
미천면,,14,9,0,1,0,0,0,0,0,0,0,0,0,0,1.901639344,128.0858295,35.31888951
이반성면,,43,10,0,1,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3263325,35.16870849
명석면,,116,59,0,2,0,0,0,0,0,0,0,0,0,0,1.79245283,127.997352,35.24264209
이반성면,,44,21,0,1,0,0,0,0,0,0,0,0,0,0,1.630952381,128.3152174,35.15525847
